"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2018","96.95","96.95","96.95","96.95","-","-0.31%"
"Jan 12, 2018","97.25","97.25","97.25","97.25","0.04K","0.31%"
"Jan 16, 2018","97.25","97.25","97.25","97.25","0.03K","0.00%"
"Jan 17, 2018","97.40","97.40","97.40","97.40","-","0.15%"
"Jan 18, 2018","97.45","97.45","97.45","97.45","-","0.05%"
"Jan 19, 2018","97.55","97.55","97.55","97.55","0.02K","0.10%"
"Jan 22, 2018","97.55","97.55","97.55","97.55","-","0.00%"
"Jan 23, 2018","97.60","97.60","97.60","97.60","-","0.05%"
"Jan 24, 2018","97.55","97.55","97.55","97.55","-","-0.05%"
"Jan 25, 2018","97.70","97.70","97.70","97.70","-","0.15%"
"Jan 26, 2018","97.30","97.30","97.30","97.30","-","-0.41%"
"Jan 29, 2018","97.85","97.85","97.85","97.85","0.02K","0.57%"
"Jan 30, 2018","97.20","97.20","97.20","97.20","0.03K","-0.66%"
"Jan 31, 2018","95.85","95.85","95.85","95.85","0.02K","-1.39%"
"Feb 01, 2018","94.90","94.90","94.90","94.90","0.03K","-0.99%"
"Feb 02, 2018","95.10","95.10","95.10","95.10","0.05K","0.21%"
"Feb 05, 2018","94.20","94.20","94.20","94.20","-","-0.95%"
"Feb 06, 2018","92.50","92.50","92.50","92.50","0.02K","-1.80%"
"Feb 07, 2018","92.25","92.25","92.25","92.25","0.02K","-0.27%"
"Feb 08, 2018","91.00","91.00","91.00","91.00","0.01K","-1.36%"
"Feb 09, 2018","91.00","91.00","91.00","91.00","0.01K","0.00%"
"Feb 12, 2018","91.20","91.20","91.20","91.20","-","0.22%"
"Feb 13, 2018","91.70","91.70","91.70","91.70","0.06K","0.55%"
"Feb 14, 2018","93.05","93.05","93.05","93.05","0.01K","1.47%"
"Feb 15, 2018","93.10","93.10","93.10","93.10","-","0.05%"
"Feb 16, 2018","94.15","94.15","94.15","94.15","-","1.13%"
